Average test error: 0.056
Distinct weight vectors and their counts:
Weight vector: [0. 0. 0. 0.], Count: 4
Weight vector: [-21.1126242 -12.52982   -13.48858   -10.8778022], Count: 25
Weight vector: [-19.4327242  -8.32302   -18.02838   -13.2709022], Count: 4
Weight vector: [-19.9073742 -12.67262   -16.03828   -12.5192022], Count: 2
Weight vector: [-21.9964742 -13.15684   -14.33428   -10.7757022], Count: 1
Weight vector: [-21.6530742 -13.03269   -14.62161   -10.6291622], Count: 27
Weight vector: [-22.9098742 -14.50599   -11.74981   -10.1826322], Count: 9
Weight vector: [-22.2651542  -9.89979   -20.09681    -7.4727322], Count: 2
Weight vector: [-23.8223542 -19.78059   -11.98801    -8.5533322], Count: 4
Weight vector: [-22.5944542 -15.74969   -16.63151   -12.4658322], Count: 4
Weight vector: [-21.2426542 -14.69019   -18.97521   -12.0658522], Count: 15
Weight vector: [-24.7486542 -27.25689    -3.81461   -12.8180122], Count: 11
Weight vector: [-29.7783542 -22.28649    -7.31711   -12.5805022], Count: 13
Weight vector: [-28.0452542 -18.33209   -12.05831   -15.0822022], Count: 14
Weight vector: [-28.2591942 -19.01496   -11.961778  -13.8857022], Count: 10
Weight vector: [-26.4716942 -14.23496   -17.097978  -17.1219022], Count: 10
Weight vector: [-27.2463042 -16.11176   -14.695678  -15.9900022], Count: 1
Weight vector: [-26.4594042 -25.67806   -10.908978   -8.4866022], Count: 5
Weight vector: [-24.9517042 -23.71846   -13.967378   -8.6090322], Count: 6
Weight vector: [-31.1149042 -15.00886   -14.183588  -12.2435322], Count: 12
Weight vector: [-30.1032042 -14.10666   -16.534188  -11.8163922], Count: 20
Weight vector: [-30.1285182 -14.28049   -16.647578  -10.5965922], Count: 16
Weight vector: [-30.0982992 -15.33169   -15.245178   -9.8229022], Count: 31
Weight vector: [-29.8839892 -16.02698   -14.368068   -9.5263722], Count: 16
Weight vector: [-29.2834892 -15.02753   -16.580668   -9.4289732], Count: 21
Weight vector: [-26.8917892 -10.47103   -21.569468  -12.3276732], Count: 11
Weight vector: [-30.6490892 -18.76263   -11.266268  -11.9470832], Count: 37
Weight vector: [-30.4880092 -12.30023   -19.623568  -10.4254832], Count: 2
Weight vector: [-30.3244292 -15.65863   -18.248668   -9.0685832], Count: 14
Weight vector: [-28.7340292 -13.44653   -21.366968   -9.1858332], Count: 11
Weight vector: [-32.4301292 -27.12443    -3.787468  -11.8039332], Count: 12
Weight vector: [-31.5350092 -22.35063    -8.630568  -17.3948332], Count: 1
Weight vector: [-32.0544792 -19.08733   -11.720068  -16.4099132], Count: 81
Weight vector: [-31.8105392 -17.61403   -13.139268  -16.9952632], Count: 32
Weight vector: [-32.1397392 -13.15883   -17.711068  -16.0064632], Count: 1
Weight vector: [-30.1087392 -11.30683   -20.723168  -16.0034602], Count: 1
Weight vector: [-32.8170392 -18.13343   -13.189268  -15.4133902], Count: 37
Weight vector: [-30.7993392 -16.33523   -16.147368  -15.2034902], Count: 10
Weight vector: [-30.5750192 -16.8567    -16.551228  -14.0017902], Count: 13
Weight vector: [-29.8307392 -20.629     -14.938128  -12.4263902], Count: 4
Weight vector: [-30.5364392 -15.1309    -23.274928   -9.5548902], Count: 10
Weight vector: [-30.5323847 -14.50185   -23.916138   -8.7967202], Count: 12
Weight vector: [-31.2530647 -21.26015   -18.075338   -8.1730302], Count: 10
Weight vector: [-30.7350647 -21.0015    -18.916188   -7.2118502], Count: 28
Weight vector: [-29.6713647 -17.3058    -23.075588   -9.1497502], Count: 18
Weight vector: [-32.9405647 -30.0464     -7.518288   -9.2915702], Count: 31
Weight vector: [-31.4904647 -26.4397    -11.573988  -10.8881702], Count: 6
Weight vector: [-31.3745447 -23.2178    -15.004188  -13.7338702], Count: 9
Weight vector: [-31.2532847 -22.99433   -15.477458  -12.7636302], Count: 12
Weight vector: [-29.0589847 -18.44403   -20.453458  -15.4890302], Count: 36
Weight vector: [-28.0037847 -17.25833   -23.094558  -15.3787002], Count: 7
Weight vector: [-30.0103847 -23.97733   -14.078358  -15.2787152], Count: 4
Weight vector: [-28.5207847 -20.54853   -18.109258  -16.7046152], Count: 10
Weight vector: [-28.9288247 -20.00639   -18.636508  -16.0460152], Count: 36
Weight vector: [-27.6105247 -18.10469   -21.947608  -15.9809442], Count: 9
Weight vector: [-27.7834847 -19.28629   -20.565808  -15.2473442], Count: 7
Weight vector: [-29.3863847 -19.67532   -18.945808  -13.3370442], Count: 16
Weight vector: [-29.7156247 -15.22012   -23.517608  -12.3482442], Count: 6
Weight vector: [-31.4260247 -19.99812   -17.306708  -11.9508442], Count: 3
Weight vector: [-31.0496547 -20.8217    -16.521278  -11.2056042], Count: 4
Weight vector: [-30.4902647 -21.1321    -16.338208  -10.7590742], Count: 31
Weight vector: [-31.0097647 -17.8688    -19.427708   -9.7741742], Count: 4
Weight vector: [-29.4287647 -16.99971   -21.741508   -8.9500542], Count: 3
Weight vector: [-28.4093647 -15.89681   -24.041508   -8.3561042], Count: 6
Weight vector: [-31.5516647 -28.93331    -8.364208   -9.0177542], Count: 2
Weight vector: [-33.2773647 -24.46361   -16.586108   -7.2104542], Count: 19
Weight vector: [-33.2112357 -21.97221   -19.526208   -7.8320142], Count: 12
Weight vector: [-31.5313357 -17.76541   -24.066008  -10.2251142], Count: 7
Weight vector: [-31.1879357 -17.64126   -24.353338  -10.0785742], Count: 13
Weight vector: [-34.4184357 -24.85476   -12.710038  -11.0247042], Count: 23
Weight vector: [-33.7737157 -20.24856   -21.057038   -8.3148042], Count: 10
Weight vector: [-32.4219157 -19.18906   -23.400738   -7.9148242], Count: 39
Weight vector: [-30.6888157 -15.23466   -28.141938  -10.4165242], Count: 7
Weight vector: [-33.5155157 -24.27536   -19.072538  -11.3988542], Count: 17
Weight vector: [-31.7280157 -19.49536   -24.208738  -14.6350542], Count: 10
Weight vector: [-32.5026257 -21.37216   -21.806438  -13.5031542], Count: 1
Weight vector: [-31.7157257 -30.93846   -18.019738   -5.9997542], Count: 5
Weight vector: [-30.2080257 -28.97886   -21.078138   -6.1221842], Count: 6
Weight vector: [-36.3712257 -20.26926   -21.294348   -9.7566842], Count: 12
Weight vector: [-35.3595257 -19.36706   -23.644948   -9.3295442], Count: 20
Weight vector: [-35.3848397 -19.54089   -23.758338   -8.1097442], Count: 6
Weight vector: [-36.9469397 -21.75299   -19.499238   -7.8300242], Count: 10
Weight vector: [-36.9167207 -22.80419   -18.096838   -7.0563342], Count: 28
Weight vector: [-36.1791207 -17.95169   -22.895438  -12.7222342], Count: 2
Weight vector: [-38.7164207 -24.91069   -14.090038  -11.1933342], Count: 1
Weight vector: [-38.5021107 -25.60598   -13.212928  -10.8968042], Count: 16
Weight vector: [-37.9016107 -24.60653   -15.425528  -10.7994052], Count: 4
Weight vector: [-38.0039507 -22.78763   -17.642428  -11.3666552], Count: 8
Weight vector: [-37.4958207 -22.30964   -19.622828  -10.7895152], Count: 9
Weight vector: [-35.1041207 -17.75314   -24.611628  -13.6882152], Count: 21
Weight vector: [-38.7094207 -23.72714   -14.520028  -14.5166752], Count: 27
Weight vector: [-38.5483407 -17.26474   -22.877328  -12.9950752], Count: 16
Weight vector: [-36.9579407 -15.05264   -25.995628  -13.1123252], Count: 11
Weight vector: [-40.6540407 -28.73054    -8.416128  -15.7304252], Count: 12
Weight vector: [-39.7589207 -23.95674   -13.259228  -21.3213252], Count: 1
Weight vector: [-40.2783907 -20.69344   -16.348728  -20.3364052], Count: 81
Weight vector: [-40.0344507 -19.22014   -17.767928  -20.9217552], Count: 7
Weight vector: [-40.6945307 -22.44614   -13.962128  -19.7381552], Count: 25
Weight vector: [-41.0237307 -17.99094   -18.533928  -18.7493552], Count: 1
Weight vector: [-38.9927307 -16.13894   -21.546028  -18.7463522], Count: 38
Weight vector: [-36.9750307 -14.34074   -24.504128  -18.5364522], Count: 2
Weight vector: [-35.5475307 -26.22044   -24.920258  -11.5386522], Count: 12
Weight vector: [-34.3395307 -22.14604   -29.683758  -14.1515522], Count: 9
Weight vector: [-33.5952507 -25.91834   -28.070658  -12.5761522], Count: 14
Weight vector: [-33.5911962 -25.28929   -28.711868  -11.8179822], Count: 11
Weight vector: [-32.3713962 -23.19109   -31.907268  -11.6895522], Count: 1
Weight vector: [-33.0920762 -29.94939   -26.066468  -11.0658622], Count: 10
Weight vector: [-32.5740762 -29.69074   -26.907318  -10.1046822], Count: 25
Weight vector: [-38.9104762 -20.40594   -26.893043  -16.8890822], Count: 21
Weight vector: [-42.1796762 -33.14654   -11.335743  -17.0309022], Count: 31
Weight vector: [-40.7295762 -29.53984   -15.391443  -18.6275022], Count: 15
Weight vector: [-40.6083162 -29.31637   -15.864713  -17.6572622], Count: 12
Weight vector: [-38.4140162 -24.76607   -20.840713  -20.3826622], Count: 36
Weight vector: [-37.3588162 -23.58037   -23.481813  -20.2723322], Count: 11
Weight vector: [-35.8692162 -20.15157   -27.512713  -21.6982322], Count: 12
Weight vector: [-33.1703162 -32.34997   -28.189323  -13.1500322], Count: 10
Weight vector: [-39.3706162 -23.66937   -28.1801886 -16.8530322], Count: 24
Weight vector: [-38.0523162 -21.76767   -31.4912886 -16.7879612], Count: 9
Weight vector: [-38.2252762 -22.94927   -30.1094886 -16.0543612], Count: 5
Weight vector: [-42.9583762 -29.12817   -18.7214886 -17.1284612], Count: 10
Weight vector: [-42.3960562 -28.12667   -20.9940886 -17.1345098], Count: 8
Weight vector: [-42.7252962 -23.67147   -25.5658886 -16.1457098], Count: 9
Weight vector: [-42.3489262 -24.49505   -24.7804586 -15.4004698], Count: 4
Weight vector: [-41.7895362 -24.80545   -24.5973886 -14.9539398], Count: 35
Weight vector: [-40.2085362 -23.93636   -26.9111886 -14.1298198], Count: 3
Weight vector: [-39.1891362 -22.83346   -29.2111886 -13.5358698], Count: 6
Weight vector: [-42.3314362 -35.86996   -13.5338886 -14.1975198], Count: 2
Weight vector: [-44.0571362 -31.40026   -21.7557886 -12.3902198], Count: 19
Weight vector: [-43.9910072 -28.90886   -24.6958886 -13.0117798], Count: 12
Weight vector: [-42.3111072 -24.70206   -29.2356886 -15.4048798], Count: 7
Weight vector: [-41.9677072 -24.57791   -29.5230186 -15.2583398], Count: 13
Weight vector: [-45.1982072 -31.79141   -17.8797186 -16.2044698], Count: 23
Weight vector: [-44.5534872 -27.18521   -26.2267186 -13.4945698], Count: 10
Weight vector: [-43.2016872 -26.12571   -28.5704186 -13.0945898], Count: 39
Weight vector: [-41.4685872 -22.17131   -33.3116186 -15.5962898], Count: 17
Weight vector: [-42.8653872 -31.84111   -23.8464186 -15.9450098], Count: 7
Weight vector: [-41.0778872 -27.06111   -28.9826186 -19.1812098], Count: 10
Weight vector: [-41.8524972 -28.93791   -26.5803186 -18.0493098], Count: 6
Weight vector: [-40.3447972 -26.97831   -29.6387186 -18.1717398], Count: 18
Weight vector: [-39.3330972 -26.07611   -31.9893186 -17.7445998], Count: 20
Weight vector: [-39.3584112 -26.24994   -32.1027086 -16.5247998], Count: 6
Weight vector: [-40.9205112 -28.46204   -27.8436086 -16.2450798], Count: 10
Weight vector: [-40.8902922 -29.51324   -26.4412086 -15.4713898], Count: 31
Weight vector: [-40.6759822 -30.20853   -25.5640986 -15.1748598], Count: 37
Weight vector: [-38.2842822 -25.65203   -30.5528986 -18.0735598], Count: 21
Weight vector: [-41.8895822 -31.62603   -20.4612986 -18.9020198], Count: 27
Weight vector: [-41.7285022 -25.16363   -28.8185986 -17.3804198], Count: 16
Weight vector: [-40.1381022 -22.95153   -31.9368986 -17.4976698], Count: 11
Weight vector: [-43.8342022 -36.62943   -14.3573986 -20.1157698], Count: 12
Weight vector: [-42.9390822 -31.85563   -19.2004986 -25.7066698], Count: 1
Weight vector: [-43.4585522 -28.59233   -22.2899986 -24.7217498], Count: 81
Weight vector: [-43.2146122 -27.11903   -23.7091986 -25.3070998], Count: 7
Weight vector: [-43.8746922 -30.34503   -19.9033986 -24.1234998], Count: 25
Weight vector: [-44.2038922 -25.88983   -24.4751986 -23.1346998], Count: 1
Weight vector: [-42.1728922 -24.03783   -27.4872986 -23.1316968], Count: 38
Weight vector: [-40.1551922 -22.23963   -30.4453986 -22.9217968], Count: 10
Weight vector: [-39.9308722 -22.7611    -30.8492586 -21.7200968], Count: 13
Weight vector: [-39.1865922 -26.5334    -29.2361586 -20.1446968], Count: 14
Weight vector: [-39.1825377 -25.90435   -29.8773686 -19.3865268], Count: 11
Weight vector: [-37.9627377 -23.80615   -33.0727686 -19.2580968], Count: 1
Weight vector: [-38.6834177 -30.56445   -27.2319686 -18.6344068], Count: 10
Weight vector: [-38.1654177 -30.3058    -28.0728186 -17.6732268], Count: 28
Weight vector: [-37.1017177 -26.6101    -32.2322186 -19.6111268], Count: 18
Weight vector: [-40.3709177 -39.3507    -16.6749186 -19.7529468], Count: 31
Weight vector: [-38.9208177 -35.744     -20.7306186 -21.3495468], Count: 7
Weight vector: [-41.5088177 -31.8786    -21.0642186 -22.6292468], Count: 8
Weight vector: [-41.3875577 -31.65513   -21.5374886 -21.6590068], Count: 12
Weight vector: [-39.1932577 -27.10483   -26.5134886 -24.3844068], Count: 36
Weight vector: [-38.1380577 -25.91913   -29.1545886 -24.2740768], Count: 7
Weight vector: [-40.1446577 -32.63813   -20.1383886 -24.1740918], Count: 4
Weight vector: [-38.6550577 -29.20933   -24.1692886 -25.5999918], Count: 10
Weight vector: [-39.0630977 -28.66719   -24.6965386 -24.9413918], Count: 36
Weight vector: [-37.7447977 -26.76549   -28.0076386 -24.8763208], Count: 9
Weight vector: [-37.9177577 -27.94709   -26.6258386 -24.1427208], Count: 7
Weight vector: [-39.5206577 -28.33612   -25.0058386 -22.2324208], Count: 16
Weight vector: [-39.8498977 -23.88092   -29.5776386 -21.2436208], Count: 6
Weight vector: [-41.5602977 -28.65892   -23.3667386 -20.8462208], Count: 3
Weight vector: [-41.1839277 -29.4825    -22.5813086 -20.1009808], Count: 4
Weight vector: [-40.6245377 -29.7929    -22.3982386 -19.6544508], Count: 31
Weight vector: [-41.1440377 -26.5296    -25.4877386 -18.6695508], Count: 4
Weight vector: [-39.5630377 -25.66051   -27.8015386 -17.8454308], Count: 3
Weight vector: [-38.5436377 -24.55761   -30.1015386 -17.2514808], Count: 6
Weight vector: [-41.6859377 -37.59411   -14.4242386 -17.9131308], Count: 2
Weight vector: [-43.4116377 -33.12441   -22.6461386 -16.1058308], Count: 19
Weight vector: [-43.3455087 -30.63301   -25.5862386 -16.7273908], Count: 12
Weight vector: [-41.6656087 -26.42621   -30.1260386 -19.1204908], Count: 7
Weight vector: [-41.3222087 -26.30206   -30.4133686 -18.9739508], Count: 13
Weight vector: [-44.5527087 -33.51556   -18.7700686 -19.9200808], Count: 23
Weight vector: [-43.9079887 -28.90936   -27.1170686 -17.2101808], Count: 10
Weight vector: [-42.5561887 -27.84986   -29.4607686 -16.8102008], Count: 39
Weight vector: [-40.8230887 -23.89546   -34.2019686 -19.3119008], Count: 14
Weight vector: [-41.0370287 -24.57833   -34.1054366 -18.1154008], Count: 3
Weight vector: [-42.4338287 -34.24813   -24.6402366 -18.4641208], Count: 7
Weight vector: [-40.6463287 -29.46813   -29.7764366 -21.7003208], Count: 10
Weight vector: [-41.4209387 -31.34493   -27.3741366 -20.5684208], Count: 6
Weight vector: [-39.9132387 -29.38533   -30.4325366 -20.6908508], Count: 18
Weight vector: [-38.9015387 -28.48313   -32.7831366 -20.2637108], Count: 20
Weight vector: [-38.9268527 -28.65696   -32.8965266 -19.0439108], Count: 6
Weight vector: [-40.4889527 -30.86906   -28.6374266 -18.7641908], Count: 10
Weight vector: [-40.4587337 -31.92026   -27.2350266 -17.9905008], Count: 31
Weight vector: [-40.2444237 -32.61555   -26.3579166 -17.6939708], Count: 16
Weight vector: [-39.6439237 -31.6161    -28.5705166 -17.5965718], Count: 21
Weight vector: [-37.2522237 -27.0596    -33.5593166 -20.4952718], Count: 21
Weight vector: [-40.8575237 -33.0336    -23.4677166 -21.3237318], Count: 27
Weight vector: [-40.6964437 -26.5712    -31.8250166 -19.8021318], Count: 16
Weight vector: [-39.1060437 -24.3591    -34.9433166 -19.9193818], Count: 11
Weight vector: [-42.8021437 -38.037     -17.3638166 -22.5374818], Count: 12
Weight vector: [-41.9070237 -33.2632    -22.2069166 -28.1283818], Count: 1
Weight vector: [-42.4264937 -29.9999    -25.2964166 -27.1434618], Count: 81
Weight vector: [-42.1825537 -28.5266    -26.7156166 -27.7288118], Count: 7
Weight vector: [-42.8426337 -31.7526    -22.9098166 -26.5452118], Count: 25
Weight vector: [-43.1718337 -27.2974    -27.4816166 -25.5564118], Count: 1
Weight vector: [-41.1408337 -25.4454    -30.4937166 -25.5534088], Count: 29
Weight vector: [-43.2618337 -25.50128   -28.5447166 -24.2004088], Count: 9
Weight vector: [-41.2441337 -23.70308   -31.5028166 -23.9905088], Count: 10
Weight vector: [-41.0198137 -24.22455   -31.9066766 -22.7888088], Count: 13
Weight vector: [-40.2755337 -27.99685   -30.2935766 -21.2134088], Count: 14
Weight vector: [-40.2714792 -27.3678    -30.9347866 -20.4552388], Count: 11
Weight vector: [-39.0516792 -25.2696    -34.1301866 -20.3268088], Count: 1
Weight vector: [-39.7723592 -32.0279    -28.2893866 -19.7031188], Count: 10
Weight vector: [-39.2543592 -31.76925   -29.1302366 -18.7419388], Count: 28
Weight vector: [-38.1906592 -28.07355   -33.2896366 -20.6798388], Count: 18
Weight vector: [-41.4598592 -40.81415   -17.7323366 -20.8216588], Count: 31
Weight vector: [-40.0097592 -37.20745   -21.7880366 -22.4182588], Count: 7
Weight vector: [-42.5977592 -33.34205   -22.1216366 -23.6979588], Count: 8
Weight vector: [-42.4764992 -33.11858   -22.5949066 -22.7277188], Count: 12
Weight vector: [-40.2821992 -28.56828   -27.5709066 -25.4531188], Count: 36
Weight vector: [-39.2269992 -27.38258   -30.2120066 -25.3427888], Count: 7
Weight vector: [-41.2335992 -34.10158   -21.1958066 -25.2428038], Count: 4
Weight vector: [-39.7439992 -30.67278   -25.2267066 -26.6687038], Count: 10
Weight vector: [-40.1520392 -30.13064   -25.7539566 -26.0101038], Count: 36
Weight vector: [-38.8337392 -28.22894   -29.0650566 -25.9450328], Count: 9
Weight vector: [-39.0066992 -29.41054   -27.6832566 -25.2114328], Count: 7
Weight vector: [-40.6095992 -29.79957   -26.0632566 -23.3011328], Count: 16
Weight vector: [-40.9388392 -25.34437   -30.6350566 -22.3123328], Count: 6
Weight vector: [-42.6492392 -30.12237   -24.4241566 -21.9149328], Count: 3
Weight vector: [-42.2728692 -30.94595   -23.6387266 -21.1696928], Count: 4
Weight vector: [-41.7134792 -31.25635   -23.4556566 -20.7231628], Count: 31
Weight vector: [-42.2329792 -27.99305   -26.5451566 -19.7382628], Count: 4
Weight vector: [-40.6519792 -27.12396   -28.8589566 -18.9141428], Count: 3
Weight vector: [-39.6325792 -26.02106   -31.1589566 -18.3201928], Count: 6
Weight vector: [-42.7748792 -39.05756   -15.4816566 -18.9818428], Count: 2
Weight vector: [-44.5005792 -34.58786   -23.7035566 -17.1745428], Count: 19
Weight vector: [-44.4344502 -32.09646   -26.6436566 -17.7961028], Count: 12
Weight vector: [-42.7545502 -27.88966   -31.1834566 -20.1892028], Count: 7
Weight vector: [-42.4111502 -27.76551   -31.4707866 -20.0426628], Count: 13
Weight vector: [-45.6416502 -34.97901   -19.8274866 -20.9887928], Count: 23
Weight vector: [-44.9969302 -30.37281   -28.1744866 -18.2788928], Count: 10
Weight vector: [-43.6451302 -29.31331   -30.5181866 -17.8789128], Count: 39
Weight vector: [-41.9120302 -25.35891   -35.2593866 -20.3806128], Count: 14
Weight vector: [-42.1259702 -26.04178   -35.1628546 -19.1841128], Count: 3
Weight vector: [-43.5227702 -35.71158   -25.6976546 -19.5328328], Count: 7
Weight vector: [-41.7352702 -30.93158   -30.8338546 -22.7690328], Count: 10
Weight vector: [-42.5098802 -32.80838   -28.4315546 -21.6371328], Count: 6
Weight vector: [-41.0021802 -30.84878   -31.4899546 -21.7595628], Count: 18
Weight vector: [-39.9904802 -29.94658   -33.8405546 -21.3324228], Count: 20
Weight vector: [-40.0157942 -30.12041   -33.9539446 -20.1126228], Count: 6
Weight vector: [-41.5778942 -32.33251   -29.6948446 -19.8329028], Count: 10
Weight vector: [-41.5476752 -33.38371   -28.2924446 -19.0592128], Count: 31
Weight vector: [-41.3333652 -34.079     -27.4153346 -18.7626828], Count: 16
Weight vector: [-40.7328652 -33.07955   -29.6279346 -18.6652838], Count: 21
Weight vector: [-38.3411652 -28.52305   -34.6167346 -21.5639838], Count: 21
Weight vector: [-41.9464652 -34.49705   -24.5251346 -22.3924438], Count: 27
Weight vector: [-41.7853852 -28.03465   -32.8824346 -20.8708438], Count: 16
Weight vector: [-40.1949852 -25.82255   -36.0007346 -20.9880938], Count: 11
Weight vector: [-43.8910852 -39.50045   -18.4212346 -23.6061938], Count: 12
Weight vector: [-42.9959652 -34.72665   -23.2643346 -29.1970938], Count: 1
Weight vector: [-43.5154352 -31.46335   -26.3538346 -28.2121738], Count: 81
Weight vector: [-43.2714952 -29.99005   -27.7730346 -28.7975238], Count: 7
Weight vector: [-43.9315752 -33.21605   -23.9672346 -27.6139238], Count: 25
Weight vector: [-44.2607752 -28.76085   -28.5390346 -26.6251238], Count: 1
Weight vector: [-42.2297752 -26.90885   -31.5511346 -26.6221208], Count: 29
Weight vector: [-44.3507752 -26.96473   -29.6021346 -25.2691208], Count: 9
Weight vector: [-42.3330752 -25.16653   -32.5602346 -25.0592208], Count: 10
Weight vector: [-42.1087552 -25.688     -32.9640946 -23.8575208], Count: 13
Weight vector: [-41.3644752 -29.4603    -31.3509946 -22.2821208], Count: 14
Weight vector: [-41.3604207 -28.83125   -31.9922046 -21.5239508], Count: 11
Weight vector: [-40.1406207 -26.73305   -35.1876046 -21.3955208], Count: 1
Weight vector: [-40.8613007 -33.49135   -29.3468046 -20.7718308], Count: 10
Weight vector: [-40.3433007 -33.2327    -30.1876546 -19.8106508], Count: 28
Weight vector: [-39.2796007 -29.537     -34.3470546 -21.7485508], Count: 18
Weight vector: [-42.5488007 -42.2776    -18.7897546 -21.8903708], Count: 26
Weight vector: [-43.9148007 -42.09344   -17.8843646 -20.3097708], Count: 5
Weight vector: [-42.4647007 -38.48674   -21.9400646 -21.9063708], Count: 7
Weight vector: [-45.0527007 -34.62134   -22.2736646 -23.1860708], Count: 8
Weight vector: [-44.9314407 -34.39787   -22.7469346 -22.2158308], Count: 12
Weight vector: [-42.7371407 -29.84757   -27.7229346 -24.9412308], Count: 36
Weight vector: [-41.6819407 -28.66187   -30.3640346 -24.8309008], Count: 7
Weight vector: [-43.6885407 -35.38087   -21.3478346 -24.7309158], Count: 4
Weight vector: [-42.1989407 -31.95207   -25.3787346 -26.1568158], Count: 10
Weight vector: [-42.6069807 -31.40993   -25.9059846 -25.4982158], Count: 36
Weight vector: [-41.2886807 -29.50823   -29.2170846 -25.4331448], Count: 9
Weight vector: [-41.4616407 -30.68983   -27.8352846 -24.6995448], Count: 7
Weight vector: [-43.0645407 -31.07886   -26.2152846 -22.7892448], Count: 16
Weight vector: [-43.3937807 -26.62366   -30.7870846 -21.8004448], Count: 9
Weight vector: [-43.0174107 -27.44724   -30.0016546 -21.0552048], Count: 4
Weight vector: [-42.4580207 -27.75764   -29.8185846 -20.6086748], Count: 35
Weight vector: [-40.8770207 -26.88855   -32.1323846 -19.7845548], Count: 3
Weight vector: [-39.8576207 -25.78565   -34.4323846 -19.1906048], Count: 6
Weight vector: [-42.9999207 -38.82215   -18.7550846 -19.8522548], Count: 8
Weight vector: [-43.9296207 -35.02505   -23.3979846 -19.5565548], Count: 13
Weight vector: [-43.8634917 -32.53365   -26.3380846 -20.1781148], Count: 12
Weight vector: [-42.1835917 -28.32685   -30.8778846 -22.5712148], Count: 7
Weight vector: [-41.8401917 -28.2027    -31.1652146 -22.4246748], Count: 13
Weight vector: [-45.0706917 -35.4162    -19.5219146 -23.3708048], Count: 23
Weight vector: [-44.4259717 -30.81      -27.8689146 -20.6609048], Count: 10
Weight vector: [-43.0741717 -29.7505    -30.2126146 -20.2609248], Count: 73
Weight vector: [-43.8487817 -31.6273    -27.8103146 -19.1290248], Count: 6
Weight vector: [-42.3410817 -29.6677    -30.8687146 -19.2514548], Count: 18
Weight vector: [-41.3293817 -28.7655    -33.2193146 -18.8243148], Count: 20
Weight vector: [-41.3546957 -28.93933   -33.3327046 -17.6045148], Count: 6
Weight vector: [-42.9167957 -31.15143   -29.0736046 -17.3247948], Count: 10
Weight vector: [-42.8865767 -32.20263   -27.6712046 -16.5511048], Count: 31
Weight vector: [-42.6722667 -32.89792   -26.7940946 -16.2545748], Count: 16
Weight vector: [-42.0717667 -31.89847   -29.0066946 -16.1571758], Count: 21
